title,content,subcodexes
"As If Connected","Some effects allow movement 'as if the top and bottom edges of the realm were connected' e.g. 
[[Polar Explorers]]. To resolve these effects, imagine a duplicate copy of the realm ))above(( the 
top row, and ))below(( the bottom row. That is, those squares are considered adjacent for movement. 
Importantly, the squares are not actually connected for other effects, so something like [[Poison 
Nova]] on the top row wouldn't hit the bottom row, since Poison Nova isn't movement. Moving 'as if 
connected' does cross borders normally, and uses normal cardinal directions. Oversized units that 
move as if connected and then find themselves spanning the realm will immediately end up on one side 
or the other. See '((Oversized Units))' for more details. Most forced movement effects require 
proximity and thus won't work across the top and bottom edge when moving 'as if connected.' For 
example, [[Whirlwind]] could theoretically push across the top or bottom edge because a 'push' 
counts as movement, but you won't be able to select a 2x2 area that spans the top and bottom edges, 
because those rows are not actually connected; [[Polar Explorers]] merely allow movement 'as if' 
connected, not 'selecting 2x2 areas as if connected.' (In contrast, if [[Magellan Globe]] were in 
the realm, then you really could select 2 squares in the top row and 2 squares in the bottom row, 
because Magellan Globe actually connects the edges, for all purposes.) An example of a forced 
movement effect that would work is [[Maelström]]:  [[Maelström]] is at M, and [[Polar Bears]] are at 
P. The whole area is a giant body of water. You could pull normally to X, or could pull 'as if 
connected' to M since pulling is a form of movement.",""
"At Rest","The default state of a unit is at rest, but it stops being at rest when: It enters the realm, OR It 
moves or is moved, OR It casts a spell, OR It activates an activated ability or triggers a triggered 
ability. It returns to being 'at rest' after passive effects have been applied and the Storyline is 
empty. Here are some clarifying examples: If a [[Hillock Basilisk]] moves and attacks, the minions 
in the attacked location will be disabled before they have a chance to use their Defend triggered 
ability, because passive abilities apply before triggered abilities. But, a defending minion moving 
in from 1 step sideways will NOT be at rest because once that defending minion uses its triggered 
ability, it's no longer at rest. It won't return to being at rest until the whole attack sequence 
finishes. Also, it's doubly not at rest because it moved! Units being carried by other units will 
not be at rest while being moved. Units being forcefully moved by an effect like [[Grapple Shot]] or 
[[Windblast]] will not be at rest, since they're being moved.",""
"Atlas","Your atlas is your deck of sites and is one of the zones in the game. Only sites can be placed or 
shuffled into your atlas. If an effect would cause a spell card to be shuffled into an atlas, that 
effect is ignored. Constructed Format
Your atlas must contain 30 or more sites and respect rarity limits. Limited Formats (Draft or 
Sealed)
Your atlas must contain 12 or more sites, ignoring rarity restrictions.",""
"Atop","On the surface of a site (not void). Synonymous with 'above a site' and 'aboveground.' This includes 
Airborne minions, as well as all types of sites, including water sites. Note: [[The Base of Babel]] 
uses the word 'atop' in a different way. See the FAQ for that card for clarity.",""
"Attack","Attacking is one of the main ways you deal damage to your opponent's units and sites, and is a core 
part of Sorcery. Units attack as part of the Move and Attack basic ability. Certain rare effects may 
also explicitly allow attacks, e.g. [[Crave Golem]]. You may only attack enemy units or the surface 
of enemy sites that are at your location. When you attack, follow this sequence: Declare the attack 
target and check that it's a legal target right now. If not, end this process and no attack 
happened. Assuming the attack target is legal, 'attack' triggers are now satisfied and the defender 
has been targeted and attacked (e.g. [[Captain Baldassare]], [[Sir Kay]], [[Dodge Roll]], 
[[Wills-o'-the-Wisp]]). Resolve those, using the storyline rules as usual for ((simultaneous 
triggers)). Open the defend window. One unit may use the Defend ability, resolving its movement, if 
any. If it now occupies the attack's location, it joins the attack as a defender. If the original 
target was a site, it's removed from the attack. If the original target was a unit, it may remain in 
the fight or not, as the defending player chooses. Note that the defender is not 'attacked' nor 
'targeted.' The opportunity to use 'attack' triggers (e.g. [[Dodge Roll]], [[Wills-o'-the-Wisp]], 
etc.) has already passed. Repeat 3.a and 3.b as many times as defending player wants, one defender 
at a time. Defend window is closed. Check for attack target legality again. Units that used the 
Defend ability are automatically legal targets (e.g. a Stealth minion chooses to defend, a unit on 
[[Dome of Osiros]] chooses to defend, etc.) Resolve the fight. If there are no other units involved 
since you're attacking an undefended site, simply strike the site, damaging it and causing the 
controlling avatar to lose that amount of life. The attack is over. Any 'after attack' triggers 
resolve now.",""
"Aura","Auras are mostly incorporeal but lasting manifestations of elemental power.  They usually affect a 
2x2 area and can be cast anywhere in the realm. [[Entangle Terrain]] is an example of an aura. Auras 
have characteristics, specifically ((aura characteristics)), and are one of the six card types in 
the game. The '((Casting Auras))' entry has details on how to cast aura spells.",""
"Aura minion","An aura minion is a card that is both an aura and a minion! See 'Cards with Multiple Types' for 
details.",""
"Avatar","Your Avatar represents you and your connection to the realm. Every deck must contain exactly 1 
Avatar. Choose wisely! [[Sparkmage]] is an example of an avatar. Avatars have characteristics, 
specifically ((avatar characteristics)), and are one of the six card types in the game. Avatars are 
immune to many negative effects, as described in their characteristics.",""
"Banished","When you banish a card, it is removed from the game; place in a separate area, clearly distinct from 
any game zone. Once a card is banished, it can never return to the game.",""
"Basic Ability","All units in Sorcery have five abilities that are not printed on their cards. These are called basic 
abilities, and are described in their own codex entries: Move and Attack Defend Intercept Pick Up 
Drop",""
"Basic Movement","Basic movement is movement from any basic ability, i.e. Move and Attack, or Defend.",""
"Below","At the subsurface of a site (not void).",""
"Body of Water","A body of water is a contiguous group of adjacent water sites, regardless of who controls those 
sites. If a card refers to 'its body of water' or 'this body of water' (e.g. [[Anui Undine]] or 
[[Giant Shark]]), it means the body of water occupied by that card. If that card doesn't currently 
occupy a body of water, then it doesn't have a body of water. To choose a body of water (e.g. 
[[Marine Voyage]]), choose one water site. Every water site (regardless of controller) that's 
connected to the chosen site via adjacent water sites is in that body of water. If a site becomes 
disconnected from the chosen water site (e.g. [[Earthquake]] in the middle of the turn), the 
disconnected site is no longer in the body of water. If the chosen site is no longer a water site 
(e.g. [[Drought]] in the middle of the turn), then the 'chosen body of water' no longer exists.",""
"Border","A square's border means other adjacent squares and doesn't include diagonals. The border is the edge 
of the square, not including the corners. For example, [[Border Militia]] checks for adjacent enemy 
sites, not diagonals.",""
"Bottom","'Bottom' can have two different meanings in Sorcery, depending on context. When referring to your 
deck, bottom or bottommost simply means the bottom card of the deck. For example, [[Autumn River]]. 
When referring to the realm, bottom means the row closest to you. For example, [[Polar Explorers]].",""
"Break Stealth","'Break ))Stealth((' as a cost for an activated ability, e.g. [[Asmodeus]] or [[Frozen Horror]] means 
that the minion must have Stealth and voluntarily lose it as the cost of the activated ability.",""
"Broken Artifact","A broken artifact is an artifact that's in a cemetery.",""
"Bruin","Bruin is a token minion with 4 power. Bruin is a Unique Beast with 'While near your Avatar, Bruin 
takes damage for them.' Bruin is an ((earth)) minion. See [[Druid]].",""
"Burrowed Safely","Burrowed safely means that the minion has burrowing and can't move itself, while at this location. 
Typically an effect will cause the minion to unburrow, for example [[Awakened Mummies]].",""
"Burrowing","Keyword Ability. A minion with Burrowing can be summoned to underground locations and survive 
underground. By using one step, a minion with Burrowing can move between the surface and subsurface 
of a land site, or between adjacent underground locations. A minion with both the Burrowing and 
Submerge abilities can move directly from an underground location to an underwater location in an 
adjacent square, and vice versa, in one step. For example, [[Cave Trolls]] can be summoned 
underground to one of your land sites. Then, after their summoning sickness wore off, they could use 
their Move and Attack ability to take a step from underground to the surface of that site (and that 
would use up their step). If they were on the surface of a land site, they could use their step to 
move from the surface to underground of that site. To 'burrow' means to move from the surface to the 
underground of a land site. When an effect 'burrows' a card, you forcefully move that card from the 
surface to underground, even if it doesn't have the Burrowing ability. If an effect tries to 
forcefully burrow (e.g. [[Bury]]) a card that occupies at least one water site, the effect fails.",""
"Can vs. Can't","If one or more effects say you 'can' do something and one or more effects say you 'can't' do that 
same thing, the 'can't' effects always take precedence. For example, [[Queen Guinevere]] explicitly 
allows you to untap an allied minion, while [[Rhitta Gawr of Snowdonia]] prohibits other minions 
from untapping. If Queen Guinevere tries to untap any minion other than Rhitta, the effect will fail 
because the 'can't' effect from Rhitta takes precedence. Note that 'lose' effects (e.g. [[Sky 
Baron]]) also implicitly include a 'can't' effect. So if Sky Baron is in the realm and then you cast 
[[Power of Flight]], the 'can't' effect takes precedence and the minion doesn't gain Airborne.",""
"Can't Drop","If an artifact ))can't(( be dropped, it may not be chosen for the '((Drop))' basic ability. Also, 
any effect that specifies 'drop,' will not affect that artifact, e.g. [[Shameless Squire]] or 
[[Attack by Night]].",""
"Can't be Modified","A card that 'can't be modified' cannot be disabled, silenced, immobilized, or transformed. It also 
cannot gain or lose any abilities, and its characteristics cannot be changed. For example, 
[[Bedrock]] is not affected by [[Atlantean Fate]] nor [[Abundance]]. As another example, [[Monks of 
Kobalsa]] cannot gain stealth (since it's an ability) or power (since it's a characteristic). Note 
that [[Monks of Kobalsa]] can have their cost reduced (or increased) during casting while they're 
still in hand, since abilities only apply while in the realm unless explicitly stated.",""
"Card","When you are instructed to draw a card, you may choose to draw a spell from your spellbook or a site 
from your atlas. If you draw multiple cards at once (e.g. [[Pact with the Devil]]), choose how many 
of each you'll draw, then draw all of them simultaneously. If a game effect or rule references a 
card in the realm, it includes tokens as well.",""
"Card Type","There are six different card types in Sorcery: Avatar Minion Artifact Aura Magic Site",""
"","","Multiple Simultaneous Card Types:  It is sometimes possible for cards to have multiple types. For 
example, automatons are minions and artifacts. For more details, see characteristics and 'Cards with 
Multiple Types.'"
"Cards with Multiple Types","It's possible for cards to have multiple types. For example, automatons are minions and artifacts. 
It's also possible for cards to gain types during the game. For example, [[Enchantress]] can cause 
auras to gain the minion type for a turn. When a card has multiple types, apply the following rules 
regarding characteristics: The default size remains unchanged. If the card was already occupying 
multiple locations (e.g. an aura) and becomes a minion (e.g. via [[Enchantress]]), it continues to 
occupy multiple locations even though minions default to a single location. For everything other 
than size, the characteristics of a minion take precedence. For example: Artifacts can be carried, 
while minions cannot be carried by default. Therefore, artifact minions cannot be carried as an 
artifact would be, since we give preference to the minion rules. Note that artifact minions can be 
carried as a minion would be carried (e.g. [[War Horse]]). Auras cannot carry artifacts. Minions can 
carry artifacts. Therefore, Aura minions can carry artifacts, since we give preference to the minion 
rules.",""
"Carriable Artifact","A carriable artifact is any artifact that's not a ((monument)) and not a minion (i.e. not an 
((automaton))). Carriable artifacts have additional options when being cast as a spell. See 
'((Casting Artifacts))' for more details, and '((Ownership and Control))' for details on how control 
can change for carriable artifacts.",""
"Carrying Artifacts","Many artifacts can be carried by units, and carried artifacts are moved along with the unit that's 
carrying them. For example, [[Ruby Core]] can be carried by a unit. See '((Carriable Artifacts))' 
for more details on which artifacts can be carried, and how control may change for such artifacts. 
See the 'Pick Up' and 'Drop' basic abilities, as well as '((Casting Artifacts)),' for details on how 
a unit might start or stop carrying an artifact. See '((Stealth))' for how it benefits carried 
artifacts. If an Oversized Unit is carrying an artifact, the artifact remains in a single location 
and maintains relative positioning to the Oversized Unit. See '((Oversized Units))' and 
'((Teleporting Oversized Units))' for further details. An artifact that's being carried must share 
at least one location with the unit that's carrying it. If they ever share no locations, the carried 
artifact is automatically dropped. Non-units cannot carry artifacts. If a non-unit is somehow 
carrying an artifact, the artifact is immediately dropped. If a unit is forcefully moved, anything 
they're carrying moves with them, e.g. [[Bury]]. If a minion leaves the realm, anything they're 
carrying remains in the realm, e.g. [[Fey Changeling]], [[Cast into Exile]], [[Monster Hunter]].",""
"Carrying Units","Normally, units cannot be carried by other units, but some effects allow it, e.g. [[War Horse]]. 
Such effects are worded 'may carry...' or 'can pick up...' or similar, but all work in the same way. 
Such units have ))modified(( Pick Up and Drop basic abilities, as described in those codex entries. 
If such a unit loses the ability to carry other units, the carried units are immediately dropped. A 
unit that's being carried must share at least one location with the unit that's carrying it. If they 
ever share no locations, the carried unit is automatically dropped. Similar to carrying artifacts, 
the carried units are moved along with the unit that's carrying them. This is considered forced 
movement. If a carried unit cannot enter the location, the carried unit won't move (and will be 
dropped as usual if they no longer share a location with the carrying unit). For example, if a War 
Horse tries to carry a [[Bosk Troll]] into a [[Gnome Hollows]], the War Horse can enter the Gnome 
Hollows but the Troll cannot, and thus the Troll remains where it was and is automatically dropped. 
Units that can carry other units confer Airborne, Burrowing, Submerge, and/or Voidwalk to the 
carried units while they're carried. For example, [[Phantom Steed]] can pick up a [[Bosk Troll]] and 
then carry the Troll into the Void. The Troll will have Voidwalk while being carried by the Phantom 
Steed, and thus be able to survive in the void. Carried units may take the Move and Attack action 
normally (once the Storyline is empty). Therefore, even if the carrying unit ))can't Drop(( that 
turn, the carried unit could still move themselves normally. For that first step, they will have any 
movement abilities conferred to them by being carried, which are lost as soon as they're no longer 
carried. For example, a Bosk Troll on a Phantom Steed in the void could step from the void onto the 
surface of an adjacent site, using the Voidwalk ability conferred to them by being carried. Once the 
Troll is on the surface of a site, it's no longer being carried by the Phantom Steed, but by that 
point it's safely out of the void and on the surface.",""
"Casting Spells","Spells are the main way Avatars and other Spellcasters influence the realm. You cast minions, 
artifacts, auras, and magics. You can only cast a spell during your main phase, while the storyline 
is empty. (A few cards like [[Dodge Roll]] grant a timing exception.) When you cast a spell, follow 
this process: Choose the Spellcaster. This is often your Avatar, but it can be any Spellcaster you 
control. If your Spellcaster occupies multiple locations, choose the location where they're casting 
the spell. For example, [[River of Flame]] occupies two locations, surface and subsurface; when it 
casts a spell, you must choose if it's casting from the surface or subsurface location. Reveal the 
spell and confirm you have the necessary threshold and mana to cast it. Note: Both players are 
responsible for confirming that all spells are cast legally! The most common spellcasting mistake is 
having insufficient threshold. Make it a regular practice to check threshold on every spell that's 
cast! Choose additional details based on the type of spell. See ))below((. Once you've done those 
three steps, you actually pay the cost to cast the spell and the card moves from where it was 
(usually your hand) and enters the storyline. It will then resolve according to the normal storyline 
rules.",""
"","","Casting Minions:  To cast a minion spell, you must declare the minion's summoning location. By 
default, you must choose the surface of one of your sites. Some abilities may modify what summoning 
locations you may choose. For example, minions with Burrowing may be summoned directly to 
underground locations you control. The summoning location must be a legal location for that minion 
to enter at time of casting (regardless of what might happen after the spell is cast and enters the 
storyline). For example, you could not choose [[Gnome Hollows]] as the summoning location of an 
[[Autumn Unicorn]]."
"","","Casting Artifacts:  To cast an artifact spell, you must declare the artifact's conjuring location. 
By default, you must choose the surface of one of your sites. If it's a carriable artifact, you may 
alternately choose one of your units and declare a location occupied by that unit; when the artifact 
enters the realm, it will be carried by that unit."
"","","Casting Auras:  To cast an aura spell, you must declare the conjuring location(s). The aura's card 
text will often specify conjuring details, but by default, auras occupy 2x2 areas and can be 
conjured anywhere in the realm. Auras occupy the surface of sites and the void. To represent the 
aura's locations, place the card at the intersection of the squares it occupies."
"","","Casting Magics:  To cast a magic spell, you must declare all targets of the magic. For example, if 
you cast [[Arc Lightning]], you must declare the 'target nearby unit' at the moment you cast the 
magic spell. When the magic goes on the storyline, the target will have been chosen and can't change 
later when the magic resolves. Note that some magic spells do not use the word 'target' and instead 
use a word like 'ally.' For example, when you cast [[Overpower]], you do not need to specify which 
ally you will choose, and instead you simply select the ally when the spell is resolving from the 
storyline. Finally, there are a few magic spells that don't target directly, and instead cause an 
ally to target. In that case, you also do not need to specify targets when you cast, since you only 
need to declare the targets that the magic itself is targeting. For example, if you cast [[Joust!]], 
you do not need to declare the target when you cast the magic; you select the ally when the magic is 
resolving from the storyline, and then the ally (not the magic!) does the targeting at that time."
"Cemetery","Your cemetery represents a record of your contest in the realm. Whenever any of your cards are 
discarded, destroyed, or resolved, place them face-up in your cemetery. Players may freely examine 
the contents of any cemetery at any time, and the order of the cards in a cemetery is irrelevant. 
Each cemetery is a zone in the game.",""
"Characteristics","Many cards have abilities that can be gained or removed during the game, but there are some 
characteristics that all cards possess, depending on their card type. Effects that remove or modify 
abilities will not remove or modify these characteristics, unless specifically mentioned in the 
effect.",""
"","","Minion Characteristics:  Minions occupy a single location by default. Minions can also hold 
carriable artifacts by default. Minions have the following characteristics: Card name Rarity Power, 
which may be a single number (including zero) or two numbers (split power, one for attack power and 
one for defense power) Cost, which may be zero Elemental threshold, which may be none Subtype, which 
may be none or multiple"
"","","Avatar Characteristics:  Avatars occupy a single location by default. Avatars can also hold 
carriable artifacts by default. Unless an effect specifically mentions the word 'Avatar,' Avatars by 
default cannot be banished, destroyed, sacrificed, disabled, silenced, or leave the realm. Avatars 
may only enter surface locations. Avatars have the following characteristics: Card name Power, which 
is a single number (including zero) Current and max life Spellcaster ability"
"","","Artifact Characteristics:  Artifacts occupy a single location by default. Artifacts have the 
following characteristics: Card name Rarity Cost, which may be zero Elemental threshold, which may 
be none Subtype, which may be none or multiple"
"","","Aura Characteristics:  Auras occupy four locations in a 2x2 area on the surface or in the void by 
default. Auras have the following characteristics: Card name Rarity Cost, which may be zero 
Elemental threshold, which may be none Subtype, which may be none or multiple"
"","","Magic Characteristics:  Magics do not enter the realm by default, and go to the cemetery after being 
resolved. Magics have the following characteristics: Card name Rarity Cost, which may be zero 
Elemental threshold, which may be none"
"","","Site Characteristics:  Sites occupy two locations by default, surface and subsurface. Sites have the 
following characteristics: Card name Rarity Cost, which defaults to zero Elemental affinity, which 
may be none Provides 1 mana"
"Charge","Keyword Ability. This minion does not suffer from summoning sickness. It can tap or be tapped to pay 
for costs associated with an ability the same turn it is summoned.",""
"Closest","When determining 'closest,' e.g. for [[Persecutor]], imagine the Persecutor had unlimited movement 
and then ask: Are there any Evil units in Persecutor's range of motion? If not, there is no 
'closest' Evil. If so, the 'closest' Evil is the unit that requires the fewest Persecutor steps to 
reach. (Your choice if tied.)",""
"Codex","The codex is a ))collection(( of terms and rules to create a fair and consistent way to enjoy 
Sorcery anywhere in the world!",""
"","","Further Note:  Please do not mention the existence of this subcodex entry to anyone publicly. If you 
need a hint deciphering the code ))below((, feel free to DM @Ira on Discord. Pbatenghyngvbaf ba 
qrpvcurevat guvf pbqr ohevrq jvguva gur Pbqrk! Vs lbh QZ @Ven jvgu n abgr gung lbh'ir ernq gur shyy 
Pbqrk, ur jvyy njneq lbh jvgu gur Pbqrk Ernqre ebyr ba gur znva Fbeprel qvfpbeq freire. V ubcr 
lbh'ir unq sha ernqvat ehyrf! -Ven"
"Collection","Your collection includes additional cards and is one of the zones in the game. You may look at your 
collection at any time. Your opponent may only know the number and type of cards in your collection. 
Constructed Format
Your collection may contain up to 10 cards and must respect rarity limits. Limited Formats (Draft or 
Sealed)
Your collection includes all the unplayed cards in your card pool. Furthermore, whenever an effect 
specifies a named card in your collection, you simply get one as if it were in your collection. Take 
it from outside your card pool, using a substitute if needed. For example, if you play [[Troubled 
Town]], you may gain any Townsfolk and cast it. If you play [[Release the Hounds]], you gain two 
[[Hellhounds]]. On the other hand, if you use [[Toolbox]], you must only select from your unplayed 
ordinary cards, since no specific card is named by Toolbox's effect.",""
"Conjure","Conjure means 'enter the realm,' for artifacts and auras. See the 'summon' codex entry for details. 
Conjure and summon are analogous.",""
"Copy","When a card enters the realm as a copy, e.g. [[Mirror Realm]] or [[Selfsame Simulacrum]], its 
characteristics and abilities match the copied card. If the copying card (e.g. Selfsame Simulacrum) 
leaves the realm, it reverts to its printed characteristics and abilities. When you create a copy, 
e.g. an artifact via [[Replication]] or a magic via [[Archimago]] or [[Orb of Ba'al Berith]], the 
characteristics and abilities match those printed on the copied card, and the copy is a token. For 
example, in the case of a copied magic, it will be banished as soon as it resolves from the 
storyline, per the normal token rules.",""
"Corner","The corners of the realm are squares 1, 5, 16, and 20.",""
"Cost","Cost is the amount of mana required to cast a spell. Cost can be modified by various effects, e.g. 
[[Hamlet]]. Cost cannot be negative. Sites have a default cost of zero. When determining the mana 
cost of a spell with an X value (e.g. [[Assorted Animals]]), X is the actual cost while the spell is 
on the storyline, and otherwise X is zero. To calculate the total cost of a spell or ability: Start 
with the mana cost or activation cost. For example, (3) for [[Bury]], or (5) if casting via [[De 
Vermis Mysteriis]]. Include any additional costs. For example, discarding a site for [[Craterize]]. 
Add anything that increases cost. For example, (2) for [[Maddening Bells]]. Subtract anything that 
reduces cost. For example, (1) less for [[Philosopher's Stone]]. Note that if you cast the spell 
'for free' or 'for (0),' you do not pay any additional costs at all! For example, [[Deathspeaker]] 
on Death's Door near a [[Maddening Bells]] will still pay (0) to use the Deathspeaker's ability. See 
((For Free)) in the Codex for more details.",""
"Damage","Cards take damage from fighting and from the effects of spells and abilities. Damage dealt to 
minions accumulates until the end phase, at which time it is healed. Whenever a minion accumulates 
damage equal to or greater than its power, it dies. Damage dealt to your Avatar causes you to lose 
life (or lose the game if they were already at Death's Door). Damage dealt to a site causes the 
player who controls the site to lose life equal to the damage dealt. Damage modification and 
prevention are described in more detail below, and the 'attack' codex entry provides further details 
as well. In most cases, there will be zero or perhaps one damage modifier, and it will be easy to 
determine damage. But in complex cases, follow these steps when applying damage: Determine incoming 
damage. Declare and immediately apply damage modification from the active player, then the 
non-active player. Declare and immediately apply damage prevention effects from the active player, 
then the non-active player. Note that replacement effects and prevention effects don't use the 
storyline, which is why they are immediately applied as soon as they're declared.",""
"","","Modifying Damage:  Damage can be modified in a variety of ways: Increase damage, e.g. Lance. Double 
damage, e.g. [[Critical Strike]] Set damage, e.g. [[Golden Harp]] Redirect damage, e.g. [[Sir 
Gawain]] Note that damage prevention effects (e.g. [[Shield Maidens]]) including damage immunity 
(e.g. [[Tufted Turtles]], [[Lava Salamander]]) are separate and apply after all damage modification 
effects. Damage prevention effects use the word 'prevent' or 'immune,' or the phrase 'takes less 
damage.' See the Preventing Damage section below for more details. Damage modification effects, 
including all those listed above, are replacement effects and are all handled the same way. 
Specifically: In the order of their choice, the active player declares and immediately resolves all 
of their damage modification effects, including from sources they own and no one controls (e.g. a 
[[Mask of Mayhem]] controlled by no one). Note that replacement effects do not use the storyline, 
and thus these effects are immediately resolved as soon as they are declared. In the order of their 
choice, the non-active player does the same thing. Each replacement effect can only be applied at 
most once per instance of damage. For example, if you have two Sir Gawains (perhaps via [[Selfsame 
Simulacrum]]), each [[Sir Gawain]] can redirect to themselves once, but they can't use their ability 
a second time on the same instance of damage. After applying all the damage modification, proceed to 
damage prevention."
"","","Preventing Damage:  Damage prevention uses the words 'prevent' or 'immune,' or the phrase 'takes 
less damage,' and applies after all other damage modification. Examples include: Takes less damage, 
e.g. [[Shield Maidens]]. Prevent damage, e.g. [[Goswhit Helmet]]. Immune to damage, e.g. [[Lava 
Salamander]]. After applying all damage modification effects, then apply damage prevention effects 
in the same way: In the order of their choice, the active player declares and immediately resolves 
all of their damage prevention effects, including from sources they own and no one controls. Note 
that prevention effects do not use the storyline, and thus these effects are immediately resolved as 
soon as they are declared. In the order of their choice, the non-active player does the same thing."
"Damage Grid","To simplify rules text and illustrate the extent of effects over a wide area, some cards show a 
damage grid, e.g. [[Craterize]]. Damage grids may use a bold square to indicate the center of the 
card's effect, or a dot to show the Spellcaster's location on the grid, e.g. [[Cone of Flame]]. A 
damage grid may be rotated and reflected, though some effects may specify otherwise. E.g. [[Flame 
Wave]] may only be reflected, not rotated. A damage grid affects each unit at the shown squares and 
in the same region as the caster, though some effects may specify otherwise. E.g. [[Craterize]] 
specifies 'above and below.'  An effect with a damage grid may be oriented so that the grid is 
partially outside the realm, as long as the source or origin square in the realm.",""
"Dead Minion","A dead minion is a minion that's in a cemetery.",""
